CMDLINE python src/main.py
MEM 643.250000 1740998697.7343
MEM 643.265625 1740998697.8393
MEM 643.281250 1740998697.9419
MEM 645.328125 1740998698.0471
MEM 650.515625 1740998698.1522
MEM 654.328125 1740998698.2573
MEM 663.765625 1740998698.3624
MEM 679.015625 1740998698.4675
MEM 679.078125 1740998698.5712
MEM 679.156250 1740998698.6763
MEM 679.203125 1740998698.7814
MEM 679.312500 1740998698.8865
MEM 679.421875 1740998698.9916
MEM 679.500000 1740998699.0925
MEM 679.500000 1740998699.1977
MEM 679.546875 1740998699.3029
MEM 679.671875 1740998699.4067
MEM 679.781250 1740998699.5118
MEM 679.875000 1740998699.6168
MEM 679.937500 1740998699.7195
MEM 680.062500 1740998699.8246
MEM 680.187500 1740998699.9266
MEM 680.265625 1740998700.0298
MEM 680.296875 1740998700.1349
MEM 680.312500 1740998700.2400
MEM 680.421875 1740998700.3450
MEM 680.546875 1740998700.4502
MEM 680.609375 1740998700.5553
MEM 680.734375 1740998700.6603
MEM 680.828125 1740998700.7654
MEM 680.906250 1740998700.8704
MEM 681.031250 1740998700.9734
MEM 681.109375 1740998701.0785
MEM 681.203125 1740998701.1835
MEM 681.296875 1740998701.2886
MEM 681.421875 1740998701.3936
MEM 681.578125 1740998701.4987
MEM 681.640625 1740998701.6039
MEM 681.796875 1740998701.7090
MEM 681.859375 1740998701.8141
MEM 681.921875 1740998701.9192
MEM 682.031250 1740998702.0232
MEM 682.046875 1740998702.1268
MEM 682.093750 1740998702.2320
MEM 682.156250 1740998702.3371
MEM 682.218750 1740998702.4423
MEM 682.265625 1740998702.5474
MEM 682.359375 1740998702.6478
MEM 682.437500 1740998702.7530
MEM 682.484375 1740998702.8561
MEM 682.484375 1740998702.9595
MEM 682.531250 1740998703.0646
MEM 682.578125 1740998703.1698
MEM 682.656250 1740998703.2748
MEM 682.703125 1740998703.3781
MEM 682.812500 1740998703.4833
MEM 682.921875 1740998703.5884
MEM 683.031250 1740998703.6935
MEM 683.125000 1740998703.7986
MEM 683.187500 1740998703.9038
MEM 683.250000 1740998704.0090
MEM 683.328125 1740998704.1144
MEM 683.421875 1740998704.2195
MEM 683.484375 1740998704.3246
MEM 683.578125 1740998704.4297
MEM 683.656250 1740998704.5349
MEM 683.750000 1740998704.6400
MEM 683.859375 1740998704.7442
MEM 683.953125 1740998704.8493
MEM 684.062500 1740998704.9544
MEM 684.140625 1740998705.0593
MEM 684.250000 1740998705.1644
MEM 684.375000 1740998705.2696
MEM 684.468750 1740998705.3747
MEM 684.546875 1740998705.4761
MEM 684.640625 1740998705.5812
MEM 684.765625 1740998705.6863
MEM 684.875000 1740998705.7913
MEM 684.937500 1740998705.8964
MEM 685.046875 1740998706.0015
MEM 685.140625 1740998706.1066
MEM 685.250000 1740998706.2116
MEM 685.328125 1740998706.3167
MEM 685.453125 1740998706.4218
MEM 685.546875 1740998706.5269
MEM 685.625000 1740998706.6319
MEM 685.718750 1740998706.7370
MEM 685.843750 1740998706.8421
MEM 685.953125 1740998706.9471
MEM 686.109375 1740998707.0522
MEM 686.171875 1740998707.1573
MEM 686.187500 1740998707.2624
MEM 686.187500 1740998707.3674
MEM 686.203125 1740998707.4725
MEM 686.203125 1740998707.5775
MEM 686.234375 1740998707.6826
MEM 686.234375 1740998707.7876
MEM 686.250000 1740998707.8927
MEM 686.265625 1740998707.9979
MEM 686.359375 1740998708.1029
MEM 702.609375 1740998708.2080
MEM 711.187500 1740998708.3131
MEM 713.750000 1740998708.4182
MEM 713.328125 1740998708.5234
MEM 704.328125 1740998708.6285
MEM 1062.046875 1740998708.7340
MEM 1147.640625 1740998708.8375
MEM 1154.906250 1740998708.9411
